,3Day,Weekly,location
0,False,/Circular/Star-Market-Cambridge-MA-49-White-St-/1B8F125748/Weekly/2,49 White St.
1,False,/Circular/Star-Market-Somerville-MA-275-Beacon-St-/814A125755/Weekly/2,275 Beacon Street
2,False,/Circular/Star-Market-Cambridge-MA-699-Mt-Auburn-St-/EA02125749/Weekly/2,699 Mt. Auburn Street
3,False,/Circular/Star-Market-Brighton-MA-370-Western-Ave-/6EAE125753/Weekly/2,370 Western Ave
4,False,/Circular/Star-Market-Cambridge-MA-20-Sidney-St-/39BB125762/Weekly/2,20 Sidney Street
5,False,/Circular/Star-Market-Somerville-MA-14-McGrath-Hwy/29B0125757/Weekly/2,14 McGrath Highway
6,False,/Circular/Star-Market-Boston-MA-1065-Commonwealth-Ave/C442125761/Weekly/2,1065 Commonwealth Ave.
7,False,/Circular/Star-Market-Belmont-MA-535-Trapelo-Rd-/1007125758/Weekly/2,535 Trapelo Road
8,False,/Circular/Star-Market-Boston-MA-33-Kilmarnock-St/D980125756/Weekly/2,33 Kilmarnock Street
9,False,/Circular/Star-Market-Boston-MA-53-Huntington-Ave-/686F125767/Weekly/2,53 Huntington Ave.
10,False,/Circular/Star-Market-Brookline-MA-1717-Beacon-St-/DCDF125750/Weekly/2,1717 Beacon St.
11,False,/Circular/Star-Market-Newtonville-MA-33-Austin-St-/4C35125747/Weekly/2,33 Austin St.
12,False,/Circular/Star-Market-Chestnut-Hill-MA-1-Boylston-St-/54B4125770/Weekly/2,1 Boylston Street
13,False,/Circular/Star-Market-Waltham-MA-1070-Lexington-St-/354C125752/Weekly/2,1070 Lexington Street
14,False,/Circular/Star-Market-Dorchester-MA-45-Morrissey-Blvd-/2201125760/Weekly/2,45 Morrissey Blvd
15,False,/Circular/Star-Market-Auburndale-MA-2040-Commonwealth/D53A125751/Weekly/2,2040 Commonwealth Avenue
16,False,/Circular/Star-Market-West-Roxbury-MA-75-Spring-St-/3773127578/Weekly/2,75 Spring Street
17,False,/Circular/Star-Market-Lower-Mills-4-River-St-/7619125769/Weekly/2,4 River Street
18,False,/Circular/Star-Market-Dedham-MA-795-Providence-Highway/1D9C125744/Weekly/2,795 Providence Highway
19,/Circular/Star-Market-Quincy-MA-130-Granite-St-/7BEF125754/Weekly/2,/Circular/Star-Market-Quincy-MA-130-Granite-St-/7BEF125754/Other/4,130 Granite Street
